ID,username,Time,lat,long,comment,,,,
1.25228E+18, DeAntonyC, Mon Apr 20 17:00:27 +0000 2020,-78.657837,35.843981, #2004 #1stPhotoChallenge @bestofbothnc 💍 #StudentsInLove https://t.co/trG9AjZyoV ,,,,
1.25228E+18, TheLastAlexand1, Mon Apr 20 17:00:27 +0000 2020,-87.732013,41.833585, It don't cost nothing 😄😆😅 ,,,,
1.25228E+18, stormyafternoon, Mon Apr 20 17:00:27 +0000 2020,-122.615429,48.484016, @tervmom1 @HR_Esq_Alvarez @tgvaldes @PacificCI @AlanBowieJrEsq  @k8bischHRLaw @SimonBoehme @chamediation @diana8385… https://t.co/rys0qNt1sc ,,,,
1.25228E+18, _anthonypas, Mon Apr 20 17:00:27 +0000 2020,-87.815934,41.923225, @shylobisnett I was also on the trail from the beginning to the end and back. I’d say about 3/5 of people were wearing masks on the trail. ,,,,
1.25228E+18, jamibesecker, Mon Apr 20 17:00:27 +0000 2020,-117.287924,33.121484, Good Monday morning! Go out and get it right this week. #monday #mondaymotivation #mondaymorning #getitright https://t.co/oo6VtNC5vh ,,,,
1.25228E+18, Lizbeth69758669, Mon Apr 20 17:00:27 +0000 2020,-98.362531,25.836568, Si juró por su madre que todo lo de Kenia era verdad. Ahora cómo por qué quiere que le crean que todo lo que salió… https://t.co/ULpEM52tqa ,,,,
1.25228E+18, progresohispano, Mon Apr 20 17:00:27 +0000 2020,-80.84802,35.22734, #20ABR | Pistolero ejecutó tiroteo más mortífero de Canadáhttps://t.co/1bnpwRjqcy#QuedemonosEnCasa #Sucesos… https://t.co/A36oNFcvBO ,,,,
1.25228E+18, DianasLiving, Mon Apr 20 17:00:27 +0000 2020,-79.616073,43.555244, @dobbernation @RavineVineyard @dillonsdistills @HenryofPelham Coming over ... oh wait, never mind 😩 ,,,
1.25228E+18, CoachLRJ, Mon Apr 20 17:00:27 +0000 2020,-89.569491,44.900818, @Foxy79_ It amazes me how many men regularly post a lot pictures of themselves on here. I make note of that shit, f… https://t.co/sI5PAhi8he ,,,
1.25228E+18, _therealldomo, Mon Apr 20 17:00:27 +0000 2020,-77.014398,38.898603, it’s taurus szn bitches 🥳 ,,,,
1.25228E+18, losman94, Mon Apr 20 17:00:27 +0000 2020,-98.540651,29.417501, @abhorrently_urs @labellana_t You don’t get paid enough nor do you get enough praise. Stay strong as both of you ar… https://t.co/8ZKPtaJ8WU ,,,,
1.25228E+18, __Riasia, Mon Apr 20 17:00:27 +0000 2020,-91.0908,30.4591, Why is it with men, they suck women dry for years &amp; expect for us to give them everything &amp; only provide little in… https://t.co/casK5azcw7 ,,,
1.25228E+18, AKLionMusic, Mon Apr 20 17:00:27 +0000 2020,-79.420865,38.003376, I hope everyone is enjoying the new track. ,,,,
1.25228E+18, JoyPostell, Mon Apr 20 17:00:27 +0000 2020,-76.620482,39.284713, @Queenhaiti___ 🤣 ,,,,
1.25228E+18, annabellllect, Mon Apr 20 17:00:27 +0000 2020,-100.076888,31.168893, @lexiemamaa_ we were so surprised we’d never heard of it before! we were both pretty freaked out about it ,,,,
1.25228E+18, Madcombs_, Mon Apr 20 17:00:27 +0000 2020,-85.768241,37.822244, Bout to grind out some ab/cardio workouts for the next month 🙃 ,,,,
1.25228E+18, CherylA62661619, Mon Apr 20 17:00:27 +0000 2020,-81.181195,37.789646, Yes America he knew...🙄https://t.co/mMfbdBoorp ,,,,
1.25228E+18, _SmooovDee_, Mon Apr 20 17:00:27 +0000 2020,-95.446486,29.838495, Bro 🤣 ,,,,
1.25228E+18, MostateNursing, Mon Apr 20 17:00:27 +0000 2020,-92.436774,38.304558, Way to go Katelyn! We are proud of you and your eagerness to get out and help others! You are ready! 🐻🩺 #GoMaroon… https://t.co/mFuCMhgjvd ,,,,
1.25228E+18, DatKingLadyZack, Mon Apr 20 17:00:28 +0000 2020,-77.014398,38.898603, Certain shit be blowin me ,,,,
1.25228E+18, TheDailyKoko, Mon Apr 20 17:00:28 +0000 2020,-97.754724,30.323346, back to the silly names ,,,,
1.25228E+18, JulianTheWhale, Mon Apr 20 17:00:28 +0000 2020,-76.423022,39.383172, 1st video: 2x3 @ 80% from 2” blocks, 348 lbs. 2nd video: 1x8 @ 70% from 1” deficit, 303 lbs.#cubemethod #deadlift… https://t.co/a8edcAzEN2 ,,
1.25228E+18, __Launnabaunna, Mon Apr 20 17:00:28 +0000 2020,-84.416916,42.759558, Bro a nigga can really just ruin yo whole mood😂😂😂😂😂 ,,,,
1.25228E+18, COJeepChris, Mon Apr 20 17:00:28 +0000 2020,-105.072231,39.947249, @dad_videos No pouch ,,,,
1.25228E+18, TymberleeHill, Mon Apr 20 17:00:28 +0000 2020,-118.325145,34.18216, @akilahgreen Shut up your mouth! 😂😂😂 ,,,,
1.25228E+18, Mikeybouchhhhh, Mon Apr 20 17:00:28 +0000 2020,-77.604684,41.117936, Happy birthday @caitythoms313 https://t.co/s9TLIrztXK ,,,,
1.25228E+18, KwokKwun1, Mon Apr 20 17:00:28 +0000 2020,-122.306264,38.297072, @ASHISHTWITTED @AChinaStory1 Ma did not relinquish control of his empire voluntarily. #CCP decides which playe. get… https://t.co/zCwrPhYsix ,,,,
1.25228E+18, Nurse_Krochonis, Mon Apr 20 17:00:28 +0000 2020,-84.388733,33.747751, 𝐈𝐏𝐋 (𝐩𝐡𝐨𝐭𝐨𝐟𝐚𝐜𝐢𝐚𝐥) Also known as “intense pulse light” is a non surgical treatment used to treat photo damage (sun d… https://t.co/pVFVvmeLQc ,,,,
1.25228E+18, taylor_veronia, Mon Apr 20 17:00:28 +0000 2020,-83.173867,32.678207, @SimplyStassi_ I’ll smoke it for you lol ,,,,
1.25228E+18, NmRhodes, Mon Apr 20 17:00:28 +0000 2020,-81.940298,34.949965, I want some edibles lol ,,,,
1.25228E+18, gcd23, Mon Apr 20 17:00:28 +0000 2020,-73.753994,40.921667, An #osprey #diving for &amp; catching a #fish for #breakfast as the day began #MotherNature is #beautiful to watch… https://t.co/NUdjm8i4Fy ,,,,
1.25228E+18, XaeMorris, Mon Apr 20 17:00:28 +0000 2020,-84.433106,33.767195, I’m a god. I’m a king. ,,,,
1.25228E+18, BlackTarzan4, Mon Apr 20 17:00:28 +0000 2020,-83.173867,32.678207, @drewdrew9696 Wells Fargo ,,,,
1.25228E+18, VaultGallerie, Mon Apr 20 17:00:28 +0000 2020,-87.67827,41.85736, Tropicalia Sade by thechicagolago 14 x 11 on Moab Archival Paper 10 total signed and numberedAvailable on… https://t.co/xZliXT20J5 ,,,,
1.25228E+18, rachelmufasa_, Mon Apr 20 17:00:29 +0000 2020,-79.861034,35.170499, @ShannonL_Miller 😂😂😂😂 ,,,,
1.25228E+18, Mahefeb, Mon Apr 20 17:00:29 +0000 2020,-86.27054,45.00118, @ponram_ 31424 (Mitchigan)🙃 ,,,,
1.25228E+18, MauiJANderson, Mon Apr 20 17:00:29 +0000 2020,-166.599693,23.691364, @caitrionambalfe @Outlander_STARZ Absolutely fantastic!  Best show of the season for me thus far.  It’s back to the… https://t.co/IpXMkAhWIS ,,,,
1.25228E+18, karlaador, Mon Apr 20 17:00:29 +0000 2020,-106.41743,31.793368, Organizing our school/crafting supplies closet today. I will die. ,,,,
1.25228E+18, tmj_BUF_gensci, Mon Apr 20 17:00:29 +0000 2020,-78.96573,43.021628, If you're looking for work in #GrandIsland, NY, check out this job: https://t.co/2n1SNmRfkx #GeneralScience ,,
1.25228E+18, TehadmireChris, Mon Apr 20 17:00:29 +0000 2020,-87.125767,41.619157, This is a Drake line; but he's flipping a Bob Marley quote. People in the comments don't know that though💀😂 ,,,,
1.25228E+18, DankofMark, Mon Apr 20 17:00:29 +0000 2020,-98.380184,29.518532, 🤠🤠🤠 ,,,,
1.25228E+18, AndreaNaegele, Mon Apr 20 17:00:29 +0000 2020,-84.917307,32.482304, Virginity only matters if your lighting a candle on Halloween to summon 3 witches who've been dead for a hundred years. #Truth ,,,,
1.25228E+18, McNicollb, Mon Apr 20 17:00:29 +0000 2020,-77.349057,38.955801, @BowieBaysox The Natural-esque HR into the light standard in RCF left an impression. ,,,,
1.25228E+18, JasonBivona3, Mon Apr 20 17:00:29 +0000 2020,-75.770041,42.746617, @Canes @CanesOnFSCR lets go!!! ,,,,
1.25228E+18, I_Am_SalmanKhan, Mon Apr 20 17:00:29 +0000 2020,-74.466483,40.55177, Ngl...Dudley was my favorite Net that season ,,,,
1.25228E+18, sarmmont, Mon Apr 20 17:00:30 +0000 2020,-79.616073,43.555244, Wow i love this man ,,,,
