id, username, created_at, lng, lat, text
1251670605528805377, broklyn_taylor, Sun Apr 19 00:35:01 +0000 2020, -100.318900, 25.671400, Ay disculpen al chico del departamento 512 hijo 😈 en Monterrey, Nuevo Leon, Mexico https://t.co/AhdPgkM8a9 
1251670605436461057, Dave_Grosz_6, Sun Apr 19 00:35:01 +0000 2020, -74.262990, 40.791359, @cgBalu Good morning sir ☺ 
1251670605704900609, TatyRAW, Sun Apr 19 00:35:01 +0000 2020, -84.433106, 33.767195, Some of you bitches on this app annoy tf out of me fr. 
1251670605906292738, RuhRoweRarin, Sun Apr 19 00:35:02 +0000 2020, -84.109776, 43.528769, @moogsmula Same! I typically really like that place. 
1251670605910298624, tmj_SAC_schn, Sun Apr 19 00:35:02 +0000 2020, -121.647228, 39.138849, Stop staring at the clock every day. It's time for a new career. Follow us to view jobs with titles like "Seasonal… https://t.co/QkuxCwFmc7 
1251670605549666304, Galvarez046, Sun Apr 19 00:35:01 +0000 2020, -87.732013, 41.833585, @LynuxSoles https://t.co/SkYWDEaNoj 
1251670605763473408, ianhanomansing, Sun Apr 19 00:35:01 +0000 2020, -123.123581, 49.257639, I see #Canucks trending and wonder what could possibly be going on? Turns out, it’s replays of games on Sportsnet a… https://t.co/t1cOC7ZoFH 
1251670595395256320, radxdaddy, Sun Apr 19 00:34:59 +0000 2020, -87.574691, 38.003467, @GraceUloth Wow he didn’t share with me? What a butthead. He’s definitely cancelled. 
1251670596070584320, dee_dlenard, Sun Apr 19 00:34:59 +0000 2020, -83.373349, 42.397315, @TrudiDan 😂 
1251670606191321088, LuongoFootwear, Sun Apr 19 00:35:02 +0000 2020, -117.158500, 32.715500, Today’s biking adventures...An abandoned bridge, roadside flowers, city views from above, the Georgia St Bridge an… https://t.co/jSWGKBb7s6 
1251670605855780864, tmj_cao_edu, Sun Apr 19 00:35:02 +0000 2020, -117.955745, 33.700466, Don't submit then quit. Apply for jobs like "Clinical Training Specialist II" at MemorialCare Health Services, then… https://t.co/azodGw1CCl 
1251670606141165568, VORTEXJeff, Sun Apr 19 00:35:02 +0000 2020, -88.200334, 40.115085, It's important to make this information available because these things don't grow on trees and for many people, inc… https://t.co/l2UqcRjzLE 
1251670606048870400, woods353, Sun Apr 19 00:35:02 +0000 2020, -73.831187, 40.670879, @Politics_Polls @wphamilton @Be0ptimus @FirehouseStrat https://t.co/qMOvMwO62F 
1251670586582941696, the_co_founder, Sun Apr 19 00:34:57 +0000 2020, -111.931711, 34.168253, @willis3366 @BanDavis2020 Triumph is called: No skill just press buttons and win 
1251670606661267456, _Lord_Just_, Sun Apr 19 00:35:02 +0000 2020, -76.176920, 42.599418, @HtStackz Cause I do foh🤣😉 
1251670606531067905, TaoDaoMan, Sun Apr 19 00:35:02 +0000 2020, -112.315212, 33.439296, @SpellingZep @Horge94414064 You might want to take a peek at this @SEP_US.As soon as the Green Party announces… https://t.co/LzIyCzQyPp 
1251670606644482048, DawnLenhardt, Sun Apr 19 00:35:02 +0000 2020, -83.291486, 42.399026, @SpiderLily62 @flowshire Wow I’m so sorry 
1251670606711386114, dogmotto, Sun Apr 19 00:35:02 +0000 2020, -117.905645, 33.663609, 👇👇👇👇👇 
1251670607214886912, Phishbowl, Sun Apr 19 00:35:02 +0000 2020, -84.644926, 33.779824, @superkickbucks 39 
1251670607273418752, MartinPlusPlus, Sun Apr 19 00:35:02 +0000 2020, -111.598320, 40.161360, They were closed 
1251670607546265607, agent_ryan013, Sun Apr 19 00:35:02 +0000 2020, -75.117998, 40.004866, I love us so much!!!!!!!! 
1251670607810498560, KingKDN, Sun Apr 19 00:35:02 +0000 2020, -83.804475, 27.698682, “50 told me go head switch the style up and if they hate then let them hate and watch the money pile up!” 
1251670608212967424, pdxpolicelog, Sun Apr 19 00:35:02 +0000 2020, -122.520229, 45.499317, SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 3000 SE 140TH AVE, PORT [Portland Police #PP20000126597] 17:23 #pdx911 
1251670606573187074, AroundTownMedia, Sun Apr 19 00:35:02 +0000 2020, -93.361321, 46.441861, Nurses surprising Mom after Chemotherapy for her 77th Birthday!  ❤️❤️❤️ https://t.co/AYzTYWQeKH 
1251670608041181184, aimbrain269, Sun Apr 19 00:35:02 +0000 2020, -86.783700, 36.165100, When you got one phone playing @djdnice and the other 2 take a video #🎵🎶🎧 #saturdayvibe #justsayin #truth #🤷‍♀️💃🏻💃🏻… https://t.co/vyP5lpqPmN 
1251670608368357376, ESOTERICTalia, Sun Apr 19 00:35:02 +0000 2020, -119.306608, 37.269176, When a salesperson hits you with the, “I don’t wanna sound like a sleazy salesperson” they are in fact a sleazy salesperon 
1251670607869218816, BlueMoney__, Sun Apr 19 00:35:02 +0000 2020, -84.306489, 33.943072, This hoe sad stupid teenager stuff bitch this why we got all these obstacles 
1251670608519344129, Placebo90511492, Sun Apr 19 00:35:02 +0000 2020, -96.761753, 32.819858, Libs glorify the Religion of Peace.  Why? https://t.co/ptlzAdnB1g 
1251670608707907584, SShane1100, Sun Apr 19 00:35:02 +0000 2020, -118.222017, 33.884968, When this shit is over the whole squad need to hit Vegas 
1251670608519344129, Placebo90511492, Sun Apr 19 00:35:02 +0000 2020, -96.761753, 32.819858, Libs glorify the Religion of Peace.  Why? https://t.co/ptlzAdnB1g 
1251670608892637185, bluubanks, Sun Apr 19 00:35:02 +0000 2020, -81.705467, 41.495940, Come on now you know damn well these ain’t none of my hoes 😂 I’m talking about people in general 😂 
